date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2020-04-06,1500000,650000,250000,100000,500000,1500000,0,0.0
2020-05-06,3000000,1200636,509343,203774,1156501,3070253,70253,0.023417792731740272
2020-06-06,4500000,1752045,757023,338045,1859609,4706722,206722,0.04593827046411869
2020-07-06,6000000,2352901,987883,441114,2481356,6263254,263254,0.04387562578008608
2020-08-06,7500000,2903935,1374892,767907,3205095,8251830,751830,0.10024395619645166
2020-09-06,9000000,3454219,1543334,830099,3923056,9750708,750708,0.0834120413488586
2020-10-06,10500000,4005230,1769148,859689,4468305,11102371,602371,0.05736865603911956
2020-11-06,12000000,4557770,2040608,1033173,5135168,12766718,766718,0.0638931989473428
2020-12-06,13500000,5108881,2183610,1089020,6013868,14395380,895380,0.06632443774455221
2021-01-06,15000000,5661370,2554442,1382710,6622023,16220546,1220546,0.08136972109767537
2021-02-06,16500000,6214681,2600661,1485448,7487269,17788059,1288059,0.07806418084615063
2021-03-06,18000000,6767102,2698241,1564007,7813798,18843148,843148,0.046841540184938024
2021-04-06,19500000,7270065,3056569,1700588,9000510,21027732,1527732,0.07834522996108051
2021-05-06,21000000,7773955,3457463,1958510,9776561,22966488,1966488,0.09364230822071051
2021-06-06,22500000,8325468,3904770,2159863,10327887,24717988,2217988,0.09857724288842107
2021-07-06,24000000,8820611,4162081,2248969,11178571,26410232,2410232,0.10042631766123877
2021-08-06,25500000,9325331,4491712,2264398,11871259,27952699,2452699,0.09618429075790424
2021-09-06,27000000,9828958,4907983,2377276,12706527,29820744,2820744,0.10447199246680161
2021-10-06,28500000,10334212,5099850,2294210,12537050,30265321,1765321,0.06194109928348612
2021-11-06,30000000,10834212,5626754,2591339,14039849,33092153,3092153,0.10307178103174475
2021-12-06,31500000,11391578,5930444,2585170,14171966,34079158,2579158,0.08187802050914339
2022-01-06,33000000,11903743,6389502,2746410,14976024,36015678,3015678,0.09138418597469977
2022-02-06,34500000,12459515,6797377,2881548,14898172,37036612,2536612,0.07352499540907198
2022-03-06,36000000,13022194,7741073,3423321,14625295,38811883,2811883,0.07810785065269532
2022-04-06,37500000,13573456,8122961,3506768,15541501,40744686,3244686,0.08652494747096928
2022-05-06,39000000,14135283,8378586,3420717,14517385,40451972,1451972,0.037230047665652855
2022-06-06,40500000,14695536,8765640,3613216,14926129,42000521,1500521,0.03704990107801742
2022-07-06,42000000,15237011,8716242,3233513,13875935,41062701,-937299,-0.022316643354682864
2022-08-06,43500000,15812805,9265668,3653595,15434977,44167045,667045,0.01533436681499345
2022-09-06,45000000,16376543,9324760,3473012,14921392,44095708,-904292,-0.020095380566648835
2022-10-06,46500000,17000241,9828827,4107619,14565407,45502094,-997906,-0.021460341881083367
2022-11-06,48000000,17613343,9866092,4040650,14555167,46075252,-1924748,-0.04009891731634707
2022-12-06,49500000,18230312,11020168,4763015,15861361,49874855,374855,0.007572837953768952
2023-01-06,51000000,18839747,11810721,5171497,15463967,51285932,285932,0.005606505400250983
2023-02-06,52500000,19452770,12479888,5171310,16978992,54082961,1582961,0.030151633495795638
2023-03-06,54000000,20029641,12727785,5041596,16967611,54766632,766632,0.014196896237137269
2023-04-06,55500000,20680625,14175340,6108967,17410064,58374996,2874996,0.05180172198869104
2023-05-06,57000000,21280542,14754696,6470877,17732529,60238645,3238645,0.05681832484579297
2023-06-06,58500000,21865704,14398615,6073268,18845760,61183347,2683347,0.04586918033782439
2023-07-06,60000000,22515179,14472674,6007480,19630058,62625391,2625391,0.04375651384083579
2023-08-06,61500000,23188237,15013813,6406813,20388770,64997633,3497633,0.05687207604457023
2023-09-06,63000000,23799104,15349019,6599718,20525583,66273423,3273423,0.05195909957982714
2023-10-06,64500000,24414757,14896501,6031458,19632235,64974951,474951,0.007363583459477185
2023-11-06,66000000,25036471,16625057,6867145,20442251,68970924,2970924,0.045014004867259594
2023-12-06,67500000,25677250,17251265,7347754,21833663,72109932,4609932,0.06829529317955663
2024-01-06,69000000,26321211,17675102,7163139,22689921,73849373,4849373,0.07028076726394761
2024-02-06,70500000,26942883,17819657,7132336,24264077,76158953,5658953,0.08026884386559652
2024-03-06,72000000,27558606,18986945,7705490,25295484,79546525,7546525,0.10481284746973785
2024-04-06,73500000,28192114,20675039,8854528,25968955,83690636,10190636,0.13864811135398103
2024-05-06,75000000,28805351,21249207,9001080,25821655,84877293,9877293,0.13169723966180458
2024-06-06,76500000,29452708,21834111,10175894,27268562,88731275,12231275,0.15988594587693483
2024-07-06,78000000,30099234,22410136,10654685,28830241,91994297,13994297,0.17941406477095612
2024-08-06,79500000,30746193,23066286,9538240,27716454,91067174,11567174,0.1454990388297197
2024-09-06,81000000,31335185,24411058,10307355,29325111,95378709,14378709,0.1775149206519251
2024-10-06,82500000,31922792,26077805,11655888,30850132,100506617,18006617,0.2182620218902822
2024-11-06,84000000,32551742,27011220,11765997,32066841,103395800,19395800,0.23090238035809074
2024-12-06,85500000,33192270,26439592,11682303,33583626,104897791,19397791,0.22687474320419376
2025-01-06,87000000,33823940,26683389,11213272,33084412,104805013,17805013,0.20465532374243534
2025-02-06,88500000,34453934,29261871,12419323,34095714,110230842,21730842,0.24554623789101981
2025-03-06,90000000,35027552,30068034,12704533,33183634,110983753,20983753,0.23315280743503486
2025-04-06,91500000,35660018,32093228,12248524,31011373,111013144,19513144,0.21325840562341458
2025-05-06,93000000,36303265,33905430,12771020,32822530,115802245,22802245,0.24518543493139178
2025-06-06,94500000,36936709,35197003,13641607,35263158,121038477,26538477,0.2808304461008708
2025-07-06,96000000,37500244,35221187,14621088,37389469,124731989,28731989,0.2992915477361593
2025-08-06,97500000,38082790,35855805,15076874,38217797,127233266,29733266,0.30495656980924424
2025-09-06,99000000,38707879,38056077,16473748,39740530,132978233,33978233,0.34321447922357495
2025-10-06,100500000,39272643,41515471,19074967,41344220,141207300,40707300,0.40504776426529765
2025-11-06,102000000,39812078,42916842,19519966,42148302,144397189,42397189,0.41565871224903894
2025-12-06,103500000,40372480,45755578,23810201,43033400,152971658,49471658,0.47798703297372924
2026-01-06,105000000,40966192,48442290,32000429,43652585,165061495,60061495,0.5720142417304173
2026-02-06,106500000,41575825,52553337,29574580,43285365,166989107,60489107,0.5679728370454797
2026-03-06,108000000,42206591,55676775,33664071,43933837,175481273,67481273,0.6248266060070462
2026-04-06,109500000,42813614,50956780,29004918,42426922,165202234,55702234,0.5086961987601253
2026-05-27,109500000,42941511,48994313,30648774,48450773,171035371,61535371,0.5619668613924402
