year,months,inflation,liquidity,credit,fx,climate,growth
2012,10,2.4,5.2,1.4,1.4,4.7,5.0
2013,12,2.1,6.8,1.0,1.6,4.9,4.6
2014,12,2.0,5.9,1.0,1.8,4.5,4.2
2015,12,1.0,5.1,1.4,2.2,1.6,3.8
2016,12,1.3,4.7,3.0,2.0,2.1,4.0
2017,12,1.4,5.0,1.3,1.7,1.7,3.2
2018,12,2.2,3.8,1.2,2.2,2.4,2.9
2019,12,1.4,4.8,1.4,2.7,1.8,2.9
2020,12,1.2,7.0,3.2,1.8,2.1,5.3
2021,12,5.3,7.4,1.1,1.9,3.2,4.0
2022,12,8.3,3.5,2.1,3.9,4.8,2.9
2023,12,6.2,2.8,3.1,4.0,3.1,4.4
2024,12,4.6,3.9,1.9,4.8,3.3,4.0
2025,12,3.8,4.8,1.7,4.9,2.4,4.1
2026,4,4.7,5.0,1.6,5.6,3.1,3.6
